| GB (N) | Licensja D2      | Koszt obliczeń D2 |
| ------ | ---------------- | ----------------- |
| 6000   | 38,7298334620742 | 24,2              |
| 6100   | 39,0512483795333 | 25,17755          |
| 6200   | 39,3700393700591 | 26,1804           |
| 6300   | 39,6862696659689 | 27,20885          |
| 6400   | 40               | 28,2632           |
| 6500   | 40,3112887414927 | 29,34375          |
| 6600   | 40,6201920231798 | 30,4508           |
| 6700   | 40,9267638593623 | 31,58465          |
| 6800   | 41,2310562561766 | 32,7456           |
| 6900   | 41,5331193145904 | 33,93395          |
| 7000   | 41,8330013267038 | 35,15             |
| 7100   | 42,1307488658818 | 36,39405          |
| 7200   | 42,4264068711929 | 37,6664           |
| 7300   | 42,7200187265877 | 38,96735          |
| 7400   | 43,0116263352131 | 40,2972           |
| 7500   | 43,3012701892219 | 41,65625          |
| 7600   | 43,5889894354067 | 43,0448           |
| 7700   | 43,8748219369606 | 44,46315          |
| 7800   | 44,1588043316392 | 45,9116           |
| 7900   | 44,4409720865779 | 47,39045          |
| 8000   | 44,7213595499958 | 48,9              |
| 8100   | 45               | 50,44055          |
| 8200   | 45,2769256906871 | 52,0124           |
| 8300   | 45,5521678957215 | 53,61585          |
| 8400   | 45,8257569495584 | 55,2512           |
| 8500   | 46,0977222864644 | 56,91875          |
| 8600   | 46,3680924774785 | 58,6188           |
| 8700   | 46,6368952654441 | 60,35165          |
| 8800   | 46,9041575982343 | 62,1176           |
| 8900   | 47,169905660283  | 63,91695          |
| 9000   | 47,4341649025257 | 65,75             |


